06-11 08:53:18.437 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524700;49.2015875;16.6140075;232.3;0.5298777732
06-11 08:53:19.327 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524800;49.201583667;16.613994667;232.3;1.0134555468000002
06-11 08:53:19.417 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524800;49.201583667;16.613994667;233.2;1.0134555468000002
06-11 08:53:20.317 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524900;49.201586667;16.613984167;233.2;0.8385444372
06-11 08:53:20.427 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6524900;49.201586667;16.613984167;233.8;0.8385444372
06-11 08:53:21.297 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6525000;49.201582167;16.613997167;233.8;0.5710333284
06-11 08:53:21.437 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6525000;49.201582167;16.613997167;231.7;0.5710333284
06-11 08:53:22.317 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6525100;49.201584;16.613991;231.7;0.47843332920000003
06-11 08:53:22.427 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6525100;49.201584;16.613991;231.8;0.47843332920000003
06-11 08:53:23.317 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6525200;49.2015835;16.613983;231.8;0.5247333288
06-11 08:53:23.607 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6525200;49.2015835;16.613983;231.5;0.5247333288
06-11 08:53:24.437 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6525300;49.201568333;16.613989667;231.5;0.2983777752
06-11 08:53:24.717 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6525300;49.201568333;16.613989667;231.2;0.2983777752
06-11 08:53:25.317 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6525400;49.201569167;16.614003;231.2;0.7562333268
06-11 08:53:25.497 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6525400;49.201569167;16.614003;233.0;0.7562333268
06-11 08:53:26.337 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6525500;49.201563;16.614025;233.0;0.0462999996
06-11 08:53:26.437 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6525500;49.201563;16.614025;231.6;0.0462999996
06-11 08:53:27.307 20630-21474/com.example.lukas.myapplication I/STATUS: 110617;6525600;49.201554;16.614040833;231.6;0.0411555552
